"PlayerID","GroupID","Condition","All_Content","information","grounds","claim","organization","query","social","strategy"
3,1,"Desktop","Alright. Is that OK that we can hear you guys discussing? Are we supposed to listen to you guys discussing this configuration of this study? I said [inaudible] [inaudible]",0,0,0,0,1,0,0
9,1,"Desktop","[inaudible]",0,0,0,0,0,0,0
7,1,"Desktop","This is overwhelming.",0,0,0,0,0,0,0
9,1,"Desktop","Oh wow. This is. So.",0,0,0,0,0,0,0
3,1,"Desktop","So do we.",0,0,0,0,0,0,0
9,1,"Desktop","I think all you could do 'cause I mean this is pretty messy. What we could do? We could try arrange, but we could try to arrange new name of the persons at top you know. Because I mean I don't know.",0,0,0,1,1,0,1
3,1,"Desktop","Uh. Yeah, yeah.",0,0,0,0,0,0,0
9,1,"Desktop","Well like like work first by region individuals at the top then you know creating links.",0,0,0,1,0,0,0
3,1,"Desktop","OK, and I think whatever we have on the board is very overwhelming. It's really hard to scan. So how about we just following our order and just briefly discuss the what do you think are important stuff on your private board?",0,0,0,0,1,0,1
9,1,"Desktop","That was like, yeah. Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","How about that? We go from when 234 start from Jessica. What do you think are the important stuff on your on your clipboard?",1,0,0,0,1,0,1
7,1,"Desktop","OK. So first thing is that. The body that belongs to Mr. Kelley, like the dead body, was found at the park 1:30 AM.",1,0,0,0,0,0,0
3,1,"Desktop","Yep. Yeah, at what time?",0,0,0,0,1,0,0
7,1,"Desktop","At 1:30 AM.",0,0,0,0,0,0,0
3,1,"Desktop","1:30 yeah.",0,0,0,0,0,0,0
7,1,"Desktop","Yeah, and blood was found both in the car of Mr. Scott and on the carpet outside the apartment of Mr. Jones.",1,0,0,0,0,0,0
3,1,"Desktop","OK. Yeah. OK, so that is the evidence of bloody found at two different places, yeah?",0,0,0,0,1,0,0
7,1,"Desktop","And. Yeah in the car yeah car is Mr. Jones. Sorry carpet that Mr. Jones and car of Scott. But Mr. Kelley mr. Kelley's wife. She disappeared.",0,0,0,0,0,0,0
3,1,"Desktop","Yep.",0,0,0,0,0,0,0
7,1,"Desktop","After the murder and she frequently left the building with Mr. Scott.",1,0,0,0,0,0,0
3,1,"Desktop","Yeah. Yep.",0,0,0,0,0,0,0
7,1,"Desktop","Now usually so yeah. So she knows Mr. Scott and she disappeared after the murder, so that's my.",1,0,0,0,0,0,0
3,1,"Desktop","[inaudible] OK. So we have like a like a. Kind of a lead on the possibility of adultery. Between adult adult relationship between the wife of Kelley Yep.",0,0,0,0,0,0,0
7,1,"Desktop","Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","So anything? Uh. Anything you want to weigh in on what? Did I do something wrong?",0,0,0,0,1,0,0
5,1,"Desktop","No, yeah you [inaudible].",0,0,0,0,0,0,0
3,1,"Desktop","Well, I think we should continue like about the the crime scene Jessica just described and the blood evidence and the possibility of adultery. Do you guys have anything to add on this two points?",0,0,0,1,1,0,1
5,1,"Desktop","Yeah.",0,0,0,0,0,0,0
9,1,"Desktop","Mr. Jones had told Mr. Kelley that Mrs. Jones was going to kill Mr. Kelley.",0,0,0,0,0,0,0
3,1,"Desktop","So Mr. Jones public can speak publicly, speak, yeah, that.",0,0,0,0,0,0,0
9,1,"Desktop","Told. Yeah, he told Mr. Kelley that he was going to kill him and and after the after the murder, Mr. Jones disappeared.",0,0,0,0,0,0,0
3,1,"Desktop","Yep. Yeah so.",0,0,0,0,0,0,0
9,1,"Desktop","And also the police discovered that Mr. Scott disappeared too after the murder.",1,0,0,0,0,0,0
3,1,"Desktop","So we have these two characters, Mr. Jones have business dispute",0,0,0,0,0,0,0
9,1,"Desktop","And.",0,0,0,0,0,0,0
3,1,"Desktop","dispute with Kelley  and Mr. Scott may have like a marriage with this like a like a grudge with Kelley and both of them have like a motivations and they both disappeared after the murder.",1,0,0,0,0,0,0
9,1,"Desktop","Yeah, old. Yeah yeah. Also mr. Kelley destroyed Mr. Jones business for stealing his customers.",0,0,0,0,0,0,0
3,1,"Desktop","OK.",0,0,0,0,0,0,0
7,1,"Desktop","OK.",0,0,0,0,0,0,0
3,1,"Desktop","Yeah, so that's that. So both of them have have have motivations of them.",0,0,0,0,0,0,0
9,1,"Desktop","Yeah, So what time was the murder 'cause? mr. Scott's apartment at 12:25.",0,0,0,0,1,0,0
3,1,"Desktop","OK.",0,0,0,0,0,0,0
7,1,"Desktop","So yeah, the murder was at one.",0,0,0,0,0,0,0
5,1,"Desktop","So I have.",0,0,0,0,0,0,0
3,1,"Desktop","Uh, so.",0,0,0,0,0,0,0
9,1,"Desktop","1",0,0,0,0,0,0,0
5,1,"Desktop","[inaudible] What?",0,0,0,0,1,0,0
9,1,"Desktop","Then Mr. Jones shot and intruder Mr. Jones apartment at 12. Midnight or something, yeah?",0,0,0,0,1,0,0
7,1,"Desktop","The body was found at 1:30 AM.",1,0,0,0,0,0,0
5,1,"Desktop","So the.",0,0,0,0,0,0,0
9,1,"Desktop","AM.",0,0,0,0,0,0,0
7,1,"Desktop","Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","So from the forensic. What information we get that the accurate? Right, good died time of Kelley is 1 hour before the time he was found, so if it is a fun. So what time is the the the dead body was found?",1,0,0,0,1,0,0
5,1,"Desktop","[inaudible]",0,0,0,0,0,0,0
3,1,"Desktop","Uh.",0,0,0,0,0,0,0
7,1,"Desktop","At 1:30 AM.",0,0,0,0,0,0,0
3,1,"Desktop","1:30 AM so it's.",0,0,0,0,0,0,0
5,1,"Desktop","1",0,0,0,0,0,0,0
7,1,"Desktop","Yeah so 12:30.",0,0,1,0,0,0,0
3,1,"Desktop","12:30 should be the accurate time where",0,0,1,0,1,0,0
7,1,"Desktop","Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","Kelley died.",0,0,0,0,0,0,0
7,1,"Desktop","And then.",0,0,0,0,0,0,0
9,1,"Desktop","So I think that was when he was at Mr. Scott's apartment.",0,0,0,0,1,0,0
3,1,"Desktop","OK.",0,0,0,0,0,0,0
7,1,"Desktop","So there's something about Miss Smith and the lobby apartment. At 12:30 AM.",0,0,0,0,0,0,0
9,1,"Desktop","OK.",0,0,0,0,0,0,0
7,1,"Desktop","I don't know what's that so someone can explain it.",0,0,0,0,0,0,0
9,1,"Desktop","Well.",0,0,0,0,0,0,0
3,1,"Desktop","So I have some evidence on the bottom left. I'm gonna drag it on. Basically it's the the knife was found in Miss Smith's yard. And, uh, the knife. So from my board there are two wounds found on Kelley's dead body. One is a knife wound and one is a gunshot. Gunshot is at the thigh and knife one is at the back. And so we have evidence that the bullets.",1,0,0,1,0,0,0
7,1,"Desktop","OK.",0,0,0,0,0,0,0
3,1,"Desktop","The bullet found in the dead body match the gun from Mr. Jones, so Jones has a very hard evidence of the murder weapon pointed at him, and the knife was found at Miss Smith Yard.",1,0,0,0,0,0,0
7,1,"Desktop","OK.",0,0,0,0,0,0,0
3,1,"Desktop","Wait wait wait.",0,0,0,0,0,0,0
5,1,"Desktop","Mr. Scott yeah.",0,0,0,0,0,0,0
9,1,"Desktop","Does does anyone have any any note on where on on 'cause I have something here? Mr. Jones shot an intruder in his apartment at twelve midnight.",0,0,0,0,1,0,0
7,1,"Desktop","Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","Yeah, it's.",0,0,0,0,0,0,0
9,1,"Desktop","So that could be that could be the [inaudible] so if it's confirmed that Mr. Kelley was actually in. Mr. Jones. Apartments, then he shot him. That was the.",1,0,1,0,0,0,0
7,1,"Desktop","So maybe it's not Mr. Jones.",0,0,1,0,0,0,0
3,1,"Desktop","Uh, I don't think it's Mr. Jones. I think, uh, the lot of very concrete evidence that the last time we see when was the last time we see Kelley alive, probably.",0,0,1,0,1,0,0
7,1,"Desktop","At all. Yeah.",0,0,0,0,0,0,0
5,1,"Desktop","So.",0,0,0,0,0,0,0
9,1,"Desktop","That was the last day, yeah?",0,0,0,0,1,0,0
5,1,"Desktop","So, Kelley, I think this Kelley went to mr. John's apartment at 11:55 PM.",0,0,0,0,0,0,0
3,1,"Desktop","I think that's the last time we see Kelley alive, right 11:30.",0,0,0,0,1,0,0
9,1,"Desktop","No no no. 'cause here. Here mr. Kelley went to mr. Scott's apartment at twelve 12:25 AM.",0,1,0,0,0,0,0
5,1,"Desktop","Yeah.",0,0,0,0,0,0,0
3,1,"Desktop","12:25 and 12:30 is the murder time, so there's like a 5 minute window from the meeting with Scott. So very likely it is a Scott and the gunshot could possibly from.",0,0,1,0,0,0,0
9,1,"Desktop","That was the last day, yeah?",0,0,0,0,1,0,0
7,1,"Desktop","But",0,0,0,0,0,0,0
5,1,"Desktop","After that.",0,0,0,0,0,0,0
9,1,"Desktop","So.",0,0,0,0,0,0,0
3,1,"Desktop","The. Midnight Intruder shot from Mr. Jones, but it is possible that the gunshot is not. It's not deadly, it's not fatal.",0,0,1,0,0,0,0
9,1,"Desktop","Yeah Yeah Yeah, the the car show is not filled out so I think it was the.",0,0,1,0,0,0,0
5,1,"Desktop","But I I have that the elevator man. So Mr. Kelley at 12:15.",0,0,0,0,0,0,0
3,1,"Desktop","And, uh.",0,0,0,0,0,0,0
5,1,"Desktop","He was slightly bleeding, but not not that badly hurt. So at 12:15 he was alive.",0,0,0,0,0,0,0
3,1,"Desktop","So we do need something more about the motivation. I think it's about at adultry, 'cause that's the only thing we know about. Mr. Scott. Is that he goes out. And goes in and out from the building with Kelley's wife, right? Anything else that can contribute to the motivation.",0,1,0,0,1,0,0
9,1,"Desktop","Yeah, I think so its adultery",0,0,0,0,0,0,0
3,1,"Desktop","Alright then I I think we're locking our guy. And so. Wait Mr. Scott with the. And the weapon is the knife and we. Have the murder time at 12:30. And the place is Mr. Scott's apartment. Where we find blood evidence and.",0,0,1,0,0,0,0
7,1,"Desktop","But wait, I'm.",0,0,0,0,0,0,0
